VAARWATER;BENAM_COD;BENAMING;S57_ID;INBEDRIJF;X_RD;Y_RD;OBJ_SOORT;IALA_CAT;N_WGS_GMS;E_WGS_GMS;N_WGS_GM;E_WGS_GM;OBJ_VORM_C;OBJ_VORM;OBJ_KLEUR_C;OBJ_KLEUR;KLEURPATR_C;KLEURPATR;V_TT_C;TT_TOPTEK;TT_KLEUR_C;TT_KLEUR;TT_PAT_C;TT_KLR_PAT;SIGN_KAR_C;SIGN_KAR;SIGN_GR_C;SIGN_GROEP;SIGN_PERIO;RACON_CODE;LICHT_KL_C;LICHT_KLR;OPGEHEVEN;X_WGS84;Y_WGS84
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0125;AM 21;1002;01.01.2005;0,0000;0,0000;TK1200.1;4;51.46.09.98;005.08.20.64;51.46.1663;005.08.3440;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.13906667;51.76943889
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0126;AM 28;1102;01.01.2005;0,0000;0,0000;TK1200.2;4;51.45.45.94;005.08.10.97;51.45.7657;005.08.1828;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.13638056;51.76276111
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0127;AM 23;1002;01.01.2005;0,0000;0,0000;TK1200.1;4;51.45.46.46;005.08.07.06;51.45.7743;005.08.1177;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.13529444;51.76290556
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0128;AM 30;1104;01.01.2005;0,0000;0,0000;TK1200.2;4;51.45.29.20;005.08.15.82;51.45.4867;005.08.2637;2;stomp;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.13772778;51.75811111
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0129;AM 25;1002;01.01.2005;0,0000;0,0000;TK1200.1;4;51.45.24.29;005.08.18.77;51.45.4048;005.08.3128;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.13854722;51.75674722
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0130;AM 27;1006;01.01.2005;0,0000;0,0000;LK1800 MM.;4;51.45.19.35;005.08.27.22;51.45.3225;005.08.4537;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;3;LFl (long-flashing);#;Niet toegewezen;8;#;#;Niet toegewezen;#;5.14089444;51.755375
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0131;UM 2;5541;29.01.2015;129041,4783;425383,9240;REC;4;51.48.59.30;005.00.38.65;51.48.9883;005.00.6442;5;spar;6;Geel;#;Niet toegewezen;5;Cilinder;3,1,3;Rood/wit/rood;1;Horizontaal;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.01073611;51.81647222
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0132;UM 4;5541;29.01.2015;129055,5395;425347,3219;REC;4;51.48.58.12;005.00.39.40;51.48.9686;005.00.6566;5;spar;6;Geel;#;Niet toegewezen;5;Cilinder;3,1,3;Rood/wit/rood;1;Horizontaal;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.01094444;51.81614444
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0133;EM 1;1044;01.07.2016;135382,9086;422349,7721;REC;4;51.47.22.04;005.06.10.34;51.47.3674;005.06.1723;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.10287222;51.78945556
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0134;EM 3;1044;01.07.2016;135443,1897;422326,9152;REC;4;51.47.21.31;005.06.13.49;51.47.3552;005.06.2248;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.10374722;51.78925278
BAKKERSKIL;VW-BI   -0101;BK 7;1044;01.01.2005;0,0000;0,0000;SK31 630;3;51.54.10.94;004.35.17.51;51.54.1823;004.35.2918;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.58819722;51.90303889
BAKKERSKIL;VW-BI   -0102;BK 3;1042;01.01.2005;0,0000;0,0000;SK31 630;3;51.54.12.04;004.35.04.91;51.54.2007;004.35.0818;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.58469722;51.90334444
BAKKERSKIL;VW-BI   -0103;BK 2;1144;01.01.2005;0,0000;0,0000;SK32 630;3;51.54.12.14;004.34.59.31;51.54.2023;004.34.9885;5;spar;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.58314167;51.90337222
BAKKERSKIL;VW-BI   -0104;BK 8;1144;01.01.2005;0,0000;0,0000;SK32 630;3;51.54.12.44;004.35.16.71;51.54.2073;004.35.2785;5;spar;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.587975;51.90345556
BAKKERSKIL;VW-BI   -0105;BK 5;1042;01.01.2005;0,0000;0,0000;SK31 630;3;51.54.12.54;004.35.11.01;51.54.2090;004.35.1835;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.58639167;51.90348333
BAKKERSKIL;VW-BI   -0106;BK 6;1142;01.01.2005;0,0000;0,0000;SK32 630;3;51.54.13.44;004.35.11.51;51.54.2240;004.35.1918;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.58653056;51.90373333
BAKKERSKIL;VW-BI   -0107;BK 4;1142;01.01.2005;0,0000;0,0000;SK32 630;3;51.54.13.64;004.35.03.81;51.54.2273;004.35.0635;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.58439167;51.90378889
BALLUMERBOCHT;VW-BA   -0102;BB 8;1101;01.01.2005;177486,5387;605308,6184;REC;4;53.26.00.84;005.43.31.92;53.26.0140;005.43.5320;5;spar;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.72553333;53.43356667
BALLUMERBOCHT;VW-BA   -0103;BB 12;1101;01.01.2005;177272,2431;605415,2046;REC;4;53.26.04.32;005.43.20.34;53.26.0720;005.43.3390;5;spar;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.72231667;53.43453333
BALLUMERBOCHT;VW-BA   -0104;BB 4;1101;01.01.2005;177679,8140;605198,2320;REC;4;53.25.57.24;005.43.42.36;53.25.9540;005.43.7060;5;spar;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.72843333;53.43256667
BALLUMERBOCHT;VW-BA   -0105;BB 2;1141;01.01.2005;177883,2142;605126,8567;SK32 630;4;53.25.54.90;005.43.53.36;53.25.9150;005.43.8893;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.73148889;53.43191667
BALLUMERBOCHT;VW-BA   -0106;BB 3;1041;01.01.2005;177859,3326;605186,4733;SK31 630;4;53.25.56.83;005.43.52.08;53.25.9472;005.43.8680;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.73113333;53.43245278
BALLUMERBOCHT;VW-BA   -0107;BB 6;1101;16.04.2012;177566,5414;605257,0556;REC;4;53.25.59.16;005.43.36.24;53.25.9860;005.43.6040;5;spar;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.72673333;53.4331
BALLUMERBOCHT;VW-BA   -0108;BB 10;1101;16.04.2012;177392,2068;605345,2754;REC;4;53.26.02.04;005.43.26.82;53.26.0340;005.43.4470;5;spar;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.72411667;53.4339
AARDAPPELENGAT;VW-A    -0101;A 21;1044;01.01.2005;72384,1773;421540,5036;SK31 630;4;51.46.35.11;004.11.24.30;51.46.5852;004.11.4050;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.19008333;51.77641944
AARDAPPELENGAT;VW-A    -0102;A 19;1042;01.01.2005;0,0000;0,0000;SK31 630;4;51.46.36.81;004.10.59.79;51.46.6135;004.10.9965;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.183275;51.77689167
AARDAPPELENGAT;VW-A    -0103;A 17;1042;01.01.2005;0,0000;0,0000;SK31 630;4;51.46.42.95;004.10.27.79;51.46.7158;004.10.4632;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.17438611;51.77859722
AARDAPPELENGAT;VW-A    -0104;A 18;1142;01.01.2005;0,0000;0,0000;SK32 630;4;51.46.48.11;004.10.32.29;51.46.8018;004.10.5382;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.17563611;51.78003056
AARDAPPELENGAT;VW-A    -0105;A 15;1042;01.01.2005;0,0000;0,0000;SK31 630;4;51.46.48.30;004.09.57.64;51.46.8050;004.09.9607;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.16601111;51.78008333
AARDAPPELENGAT;VW-A    -0106;A 16;1144;01.01.2005;0,0000;0,0000;SK32 630;4;51.46.53.11;004.10.02.29;51.46.8852;004.10.0382;5;spar;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.16730278;51.78141944
AARDAPPELENGAT;VW-A    -0107;A 13;1042;01.01.2005;0,0000;0,0000;SK31 630;4;51.47.01.11;004.09.27.29;51.47.0185;004.09.4548;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.15758056;51.78364167
AARDAPPELENGAT;VW-A    -0108;A 14;1142;01.01.2005;0,0000;0,0000;SK32 630;4;51.47.08.11;004.09.33.29;51.47.1352;004.09.5548;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.15924722;51.78558611
AARDAPPELENGAT;VW-A    -0109;A 11;1042;01.01.2005;0,0000;0,0000;SK31 630;4;51.47.13.88;004.08.56.29;51.47.2313;004.08.9382;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.14896944;51.78718889
AARDAPPELENGAT;VW-A    -0110;A 12;1142;01.01.2005;0,0000;0,0000;SK32 630;4;51.47.23.11;004.09.06.29;51.47.3852;004.09.1048;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.15174722;51.78975278
AARDAPPELENGAT;VW-A    -0111;A 9;1042;01.01.2005;0,0000;0,0000;SK31 630;4;51.47.27.49;004.08.12.73;51.47.4582;004.08.2122;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.13686944;51.79096944
AARDAPPELENGAT;VW-A    -0112;A 10;1142;01.01.2005;0,0000;0,0000;SK32 630;4;51.47.38.11;004.08.19.29;51.47.6352;004.08.3215;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.13869167;51.79391944
AARDAPPELENGAT;VW-A    -0113;A 7;1042;01.01.2005;0,0000;0,0000;SK31 630;4;51.47.38.44;004.07.37.29;51.47.6407;004.07.6215;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.127025;51.79401111
AARDAPPELENGAT;VW-A    -0114;A 8;1142;01.01.2005;68186,1920;423836,8690;SK32 630;4;51.47.47.11;004.07.43.29;51.47.7852;004.07.7215;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.12869167;51.79641944
AARDAPPELENGAT;VW-A    -0115;A 5;1042;01.01.2005;0,0000;0,0000;SK31 630;4;51.47.51.11;004.07.04.28;51.47.8518;004.07.0713;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.11785556;51.79753056
AARDAPPELENGAT;VW-A    -0116;A 6;1142;01.01.2005;0,0000;0,0000;SK32 630;4;51.47.58.61;004.07.10.28;51.47.9768;004.07.1713;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.11952222;51.79961389
AARDAPPELENGAT;VW-A    -0117;A 3;1042;01.01.2005;0,0000;0,0000;SK31 630;4;51.48.09.11;004.06.18.28;51.48.1518;004.06.3047;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.10507778;51.80253056
AARDAPPELENGAT;VW-A    -0118;A 4;1142;01.01.2005;0,0000;0,0000;SK32 630;4;51.48.19.11;004.06.47.28;51.48.3185;004.06.7880;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.11313333;51.80530833
AARDAPPELENGAT;VW-A    -0119;A 1;1044;01.01.2005;0,0000;0,0000;SK31 630;4;51.48.30.11;004.05.35.28;51.48.5018;004.05.5880;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.09313333;51.80836389
AMER;VW-AM   -0101;A 1A;1006;01.01.2005;109327,2368;415160,6089;LK2600 MM.;2;51.43.23.95;004.43.34.28;51.43.3992;004.43.5713;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;4;#;4;Groen;#;4.72618889;51.72331944
AMER;VW-AM   -0102;A 3;1006;01.01.2005;109989,2080;415341,0003;LK2600 MM.;2;51.43.29.98;004.44.08.68;51.43.4997;004.44.1447;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;8;#;4;Groen;#;4.73574444;51.72499444
AMER;VW-AM   -0103;A 5;1006;01.01.2005;0,0000;0,0000;LK2600 MM.;2;51.43.30.35;004.44.57.49;51.43.5058;004.44.9582;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;4;#;4;Groen;#;4.74930278;51.72509722
AMER;VW-AM   -0104;A 7;1006;01.01.2005;0,0000;0,0000;LK2600 MM.;2;51.43.23.20;004.45.42.10;51.43.3867;004.45.7017;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;8;#;4;Groen;#;4.76169444;51.72311111
AMER;VW-AM   -0105;A 1;1004;21.01.2014;108027,3147;414773,1591;TK1200.1;3;51.43.11.03;004.42.26.74;51.43.1838;004.42.4457;1;spits;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.70742778;51.71973056
AMER;VW-AM   -0106;A 11;1004;21.01.2014;116740,2480;413758,6490;TK1200.1;3;51.42.40.59;004.50.01.05;51.42.6765;004.50.0175;1;spits;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.833625;51.711275
AMER;VW-AM   -0107;A 6;1104;21.01.2014;115289,3254;413927,5078;TK1200.2;3;51.42.45.69;004.48.45.41;51.42.7615;004.48.7568;2;stomp;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.81261389;51.71269167
AMER;VW-AM   -0108;KB;1042;05.10.2017;108605,1369;414686,9637;SK31 630;3;51.43.08.41;004.42.56.87;51.43.1401;004.42.9479;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.71579722;51.71900278
AMSTERDAM-RIJNKANAAL;VW-ARK  -0101;AK 1-EH 2;1202;01.01.2005;125563,7133;487323,8047;LK2600 MM.;3;52.22.22.80;004.57.17.82;52.22.3800;004.57.2970;3;bol;4,3;Groen/rood;1;Horizontaal;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;4;Q (quick-flashing);#;Niet toegewezen;#;#;4;Groen;#;4.95495;52.373
AMSTERDAM-RIJNKANAAL;VW-ARK  -0102;AK 3;1004;01.01.2005;125800,7301;485930,7739;TK1200.1;3;52.21.37.78;004.57.30.80;52.21.6297;004.57.5133;1;spits;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.95855556;52.36049444
AMSTERDAM-RIJNKANAAL;VW-ARK  -0103;AK 5;1002;01.09.2007;125856,0603;485821,9615;TK1200.1;3;52.21.34.27;004.57.33.76;52.21.5712;004.57.5626;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.95937778;52.35951944
AMSTERDAM-RIJNKANAAL;VW-ARK  -0106;PBS 1;1006;07.10.2013;159945,1116;433524,7032;TK1200.1;2;51.53.24.81;005.27.32.54;51.53.4135;005.27.5424;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;4;#;4;Groen;#;5.45903889;51.890225
AMSTERDAM-RIJNKANAAL;VW-ARK  -0107;PBS 3;1006;07.10.2013;159953,2095;433573,2931;TK1200.1;2;51.53.26.38;005.27.32.97;51.53.4397;005.27.5495;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;6;#;4;Groen;#;5.45915833;51.89066111
AMSTERDAM-RIJNKANAAL;VW-ARK  -0108;PBS 5;1006;07.10.2013;159943,6403;433620,1965;TK1200.1;2;51.53.27.90;005.27.32.47;51.53.4650;005.27.5412;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;8;#;4;Groen;#;5.45901944;51.89108333
AMSTERDAM-RIJNKANAAL;VW-ARK  -0109;AK 9;1002;17.11.2015;126015,2967;485638,3608;TK1200.1;3;52.21.28.36;004.57.42.23;52.21.4727;004.57.7038;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.96173056;52.35787778
AMSTERDAM-RIJNKANAAL;VW-ARK  -0110;AK 11;1002;17.11.2015;126109,7194;485572,7162;TK1200.1;3;52.21.26.26;004.57.47.24;52.21.4376;004.57.7873;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.96312222;52.35729444
AMSTERDAM-RIJNKANAAL;VW-ARK  -0111;AK 7-ND 2;1202;17.11.2015;125938,4755;485723,3753;LK1800 MM.;2;52.21.31.10;004.57.38.14;52.21.5183;004.57.6357;3;bol;4,3;Groen/rood;1;Horizontaal;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;4;Q (quick-flashing);#;Niet toegewezen;#;#;4;Groen;#;4.96059444;52.35863889
AMSTERDAM-RIJNKANAAL;VW-ARK  -0112;ND 1;1042;17.11.2015;125915,5862;485731,1133;REC;4;52.21.31.34;004.57.36.93;52.21.5224;004.57.6155;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.96025833;52.35870556
AMSTERDAM-RIJNKANAAL;VW-ARK  -0113;ND 4;1142;17.11.2015;125919,4092;485705,4994;REC;4;52.21.30.52;004.57.37.14;52.21.5086;004.57.6190;5;spar;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.96031667;52.35847778
AMSTERDAM-RIJNKANAAL;VW-ARK  -0116;AK 1A-ZS 2;1202;11.12.2015;125657,9818;486761,3432;LK1800 MM.;3;52.22.04.62;004.57.22.98;52.22.0770;004.57.3830;3;bol;4,3;Groen/rood;1;Horizontaal;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;4;Q (quick-flashing);#;Niet toegewezen;#;#;4;Groen;#;4.95638333;52.36795
AMSTERDAM-RIJNKANAAL;VW-ARK  -0117;ZS 1;1044;11.12.2015;125622,8936;486782,2814;REC;4;52.22.05.30;004.57.21.13;52.22.0883;004.57.3522;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.95586944;52.36813889
AMSTERDAM-RIJNKANAAL;VW-ARK  -0118;ZS 3;1044;11.12.2015;125584,4976;486739,4867;REC;4;52.22.03.91;004.57.19.12;52.22.0651;004.57.3186;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.95531111;52.36775278
AMSTERDAM-RIJNKANAAL;VW-ARK  -0119;ZS 5;1044;11.12.2015;125533,5984;486713,0861;REC;4;52.22.03.04;004.57.16.43;52.22.0507;004.57.2739;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.95456389;52.36751111
AMSTERDAM-RIJNKANAAL;VW-ARK  -0120;AK-A;5541;11.07.2016;125560,8949;487254,7954;SK31 630;4;52.22.20.57;004.57.17.71;52.22.3429;004.57.2951;5;spar;6;Geel;#;Niet toegewezen;5;Cilinder;3,1,3;Rood/wit/rood;1;Horizontaal;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.95491944;52.37238056
AMSTERDAM-RIJNKANAAL;VW-ARK  -0121;AK-B;5502;11.07.2016;125573,3965;487257,5026;LK1800 MM.;3;52.22.20.66;004.57.18.37;52.22.3444;004.57.3061;1;spits;6;Geel;#;Niet toegewezen;5;Cilinder;3,1,3;Rood/wit/rood;1;Horizontaal;2;Fl (flashing);(3);(3);10;#;6;Geel;#;4.95510278;52.37240556
AMSTERDAM-RIJNKANAAL;VW-ARK  -0122;AK-C;5541;11.07.2016;125592,3779;487147,6056;SK31 630;4;52.22.17.11;004.57.19.40;52.22.2852;004.57.3234;5;spar;6;Geel;#;Niet toegewezen;5;Cilinder;3,1,3;Rood/wit/rood;1;Horizontaal;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.95538889;52.37141944
AMSTERDAM-RIJNKANAAL;VW-ARK  -0123;AK-D;5502;11.07.2016;125609,9155;487042,9098;LK1800 MM.;3;52.22.13.73;004.57.20.36;52.22.2288;004.57.3394;1;spits;6;Geel;#;Niet toegewezen;5;Cilinder;3,1,3;Rood/wit/rood;1;Horizontaal;2;Fl (flashing);#;Niet toegewezen;5;#;6;Geel;#;4.95565556;52.37048056
AMSTERDAM-RIJNKANAAL;VW-ARK  -0124;AK-E;5541;11.07.2016;125624,3551;486932,4836;SK31 630;4;52.22.10.16;004.57.21.16;52.22.1693;004.57.3527;5;spar;6;Geel;#;Niet toegewezen;5;Cilinder;3,1,3;Rood/wit/rood;1;Horizontaal;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4.95587778;52.36948889
